county,sub_county,date,acute_malnutrition_cases,severe_acute_malnutrition_cases,moderate_acute_malnutrition_cases,admission_rate,cure_rate,death_rate,default_rate,non_cured_rate,coverage_rate,population_under_5,nutrition_program_coverage,stunting_rate,wasting_rate,underweight_rate,exclusive_breastfeeding_rate,mmf_complementarity,mdd_diversity,micronutrient_supplementation_rate,water_access_pct,sanitation_access_pct,handwashing_facilities_pct,safe_disposal_sanitation_pct,basic_drinking_water_pct,hygiene_promotion_coverage,community_led_total_sanitation,school_wash_access,month,year,severe_acute_malnutrition_cases_lag_1,moderate_acute_malnutrition_cases_lag_1,admission_rate_lag_1,cure_rate_lag_1,death_rate_lag_1,default_rate_lag_1,non_cured_rate_lag_1,coverage_rate_lag_1,population_under_5_lag_1,nutrition_program_coverage_lag_1,stunting_rate_lag_1,wasting_rate_lag_1,underweight_rate_lag_1,exclusive_breastfeeding_rate_lag_1,mmf_complementarity_lag_1,mdd_diversity_lag_1,micronutrient_supplementation_rate_lag_1,water_access_pct_lag_1,sanitation_access_pct_lag_1,handwashing_facilities_pct_lag_1,safe_disposal_sanitation_pct_lag_1,basic_drinking_water_pct_lag_1,hygiene_promotion_coverage_lag_1,community_led_total_sanitation_lag_1,school_wash_access_lag_1,severe_acute_malnutrition_cases_lag_2,moderate_acute_malnutrition_cases_lag_2,admission_rate_lag_2,cure_rate_lag_2,death_rate_lag_2,default_rate_lag_2,non_cured_rate_lag_2,coverage_rate_lag_2,population_under_5_lag_2,nutrition_program_coverage_lag_2,stunting_rate_lag_2,wasting_rate_lag_2,underweight_rate_lag_2,exclusive_breastfeeding_rate_lag_2,mmf_complementarity_lag_2,mdd_diversity_lag_2,micronutrient_supplementation_rate_lag_2,water_access_pct_lag_2,sanitation_access_pct_lag_2,handwashing_facilities_pct_lag_2,safe_disposal_sanitation_pct_lag_2,basic_drinking_water_pct_lag_2,hygiene_promotion_coverage_lag_2,community_led_total_sanitation_lag_2,school_wash_access_lag_2,severe_acute_malnutrition_cases_lag_3,moderate_acute_malnutrition_cases_lag_3,admission_rate_lag_3,cure_rate_lag_3,death_rate_lag_3,default_rate_lag_3,non_cured_rate_lag_3,coverage_rate_lag_3,population_under_5_lag_3,nutrition_program_coverage_lag_3,stunting_rate_lag_3,wasting_rate_lag_3,underweight_rate_lag_3,exclusive_breastfeeding_rate_lag_3,mmf_complementarity_lag_3,mdd_diversity_lag_3,micronutrient_supplementation_rate_lag_3,water_access_pct_lag_3,sanitation_access_pct_lag_3,handwashing_facilities_pct_lag_3,safe_disposal_sanitation_pct_lag_3,basic_drinking_water_pct_lag_3,hygiene_promotion_coverage_lag_3,community_led_total_sanitation_lag_3,school_wash_access_lag_3,acute_malnutrition_cases_lag_1,acute_malnutrition_cases_lag_2,acute_malnutrition_cases_lag_3
Eldoret,Ainabkoi,2025-06-01 23:22:43.086192,157,32,124,1.4163707054376484,71.75093541301815,3.7848199924921335,9.46490759867594,3.5432176539416407,64.46309970809877,8619,53.069905722239895,38.40320935630646,16.466585580915208,12.483484002650291,33.73481429291431,77.82983864367802,58.54456837337298,53.21298508658859,83.34941938809936,78.9142934240268,81.24740582695176,70.70155637089161,65.39027814141399,55.58068071509466,67.42754832703969,74.07756376637624,6,2025,28.0,127.0,1.994207296956936,88.48603609437116,3.909667683160976,2.8865026105117213,7.17869975412182,43.47489241960981,11830.0,64.603784888537,21.54763280628237,18.87051514126052,28.360385255787527,27.4238774800854,52.785996619585234,60.267707938691984,78.16210076144084,95.15378789930068,40.717244709832165,81.8553037263037,51.98586140920773,58.45500151078593,31.650065745553093,38.07015204442203,66.50964651423446,34.0,182.0,2.6479173337573854,77.86047530457951,3.982569475662765,5.344677039056052,5.029753214650032,55.1658078241374,10956.0,94.9302817920449,27.171995957160497,9.033520742012474,28.41659087056498,28.62854535647592,62.97024655830455,68.48189793278476,79.82049099816255,57.16631220467709,52.14268211742414,61.118862700854926,45.83641730887862,80.68930871892674,78.74363220199857,42.91930962099027,53.54341586380644,35.0,181.0,2.115414291152096,80.35210286527246,2.609529972489329,5.114964324935486,3.9874813247256977,68.37410394140834,14471.0,84.29794916772951,39.69095459340529,8.258980442261434,18.727975765031687,26.41347354603652,72.32553967484424,84.40014782639247,71.78404310717112,77.91181040938363,35.23378634214429,49.89173786849703,68.30678061157444,87.68346022452837,44.042913285188845,24.273114059591137,78.2701153067911,156.0,217.0,217.0
Eldoret,Ainabkoi,2025-07-01 23:22:43.086192,129,14,115,2.0819376019556266,82.06124667982903,2.047151023298196,5.928132543992356,5.1359563320172095,52.945102238949765,8481,40.618419811685406,28.144088998760218,10.91756225123204,26.579361009560536,39.827664463435525,58.66440729510755,63.19459574783327,54.68080254990568,66.65288465547621,40.872840672987714,39.20721184262113,80.00637640557342,79.22135565893328,56.598095543363065,44.734980961516015,35.76420954248823,7,2025,32.0,124.0,1.4163707054376484,71.75093541301815,3.7848199924921335,9.46490759867594,3.5432176539416407,64.46309970809877,8619.0,53.069905722239895,38.40320935630646,16.466585580915208,12.483484002650291,33.73481429291431,77.82983864367802,58.54456837337298,53.21298508658859,83.34941938809936,78.9142934240268,81.24740582695176,70.70155637089161,65.39027814141399,55.58068071509466,67.42754832703969,74.07756376637624,28.0,127.0,1.994207296956936,88.48603609437116,3.909667683160976,2.8865026105117213,7.17869975412182,43.47489241960981,11830.0,64.603784888537,21.54763280628237,18.87051514126052,28.360385255787527,27.4238774800854,52.785996619585234,60.267707938691984,78.16210076144084,95.15378789930068,40.717244709832165,81.8553037263037,51.98586140920773,58.45500151078593,31.650065745553093,38.07015204442203,66.50964651423446,34.0,182.0,2.6479173337573854,77.86047530457951,3.982569475662765,5.344677039056052,5.029753214650032,55.1658078241374,10956.0,94.9302817920449,27.171995957160497,9.033520742012474,28.41659087056498,28.62854535647592,62.97024655830455,68.48189793278476,79.82049099816255,57.16631220467709,52.14268211742414,61.118862700854926,45.83641730887862,80.68930871892674,78.74363220199857,42.91930962099027,53.54341586380644,157.0,156.0,217.0
Eldoret,Ainabkoi,2025-08-01 23:22:43.086192,105,22,83,3.5654813305155875,75.89759298263866,3.0374983774609543,4.0951610181273566,7.799815316807026,58.98075153236975,4951,88.50154249782238,24.489222161386976,10.143398981299898,10.091943352089304,65.38723185957227,42.99592058548649,42.56329801447744,53.20877575899856,92.3040693891211,50.985486899803455,42.90230022292832,85.60875948427532,56.00911267631065,57.70698104584482,46.90379899102453,55.68939407780645,8,2025,14.0,115.0,2.0819376019556266,82.06124667982903,2.047151023298196,5.928132543992356,5.1359563320172095,52.945102238949765,8481.0,40.618419811685406,28.144088998760218,10.91756225123204,26.579361009560536,39.827664463435525,58.66440729510755,63.19459574783327,54.68080254990568,66.65288465547621,40.872840672987714,39.20721184262113,80.00637640557342,79.22135565893328,56.598095543363065,44.734980961516015,35.76420954248823,32.0,124.0,1.4163707054376484,71.75093541301815,3.7848199924921335,9.46490759867594,3.5432176539416407,64.46309970809877,8619.0,53.069905722239895,38.40320935630646,16.466585580915208,12.483484002650291,33.73481429291431,77.82983864367802,58.54456837337298,53.21298508658859,83.34941938809936,78.9142934240268,81.24740582695176,70.70155637089161,65.39027814141399,55.58068071509466,67.42754832703969,74.07756376637624,28.0,127.0,1.994207296956936,88.48603609437116,3.909667683160976,2.8865026105117213,7.17869975412182,43.47489241960981,11830.0,64.603784888537,21.54763280628237,18.87051514126052,28.360385255787527,27.4238774800854,52.785996619585234,60.267707938691984,78.16210076144084,95.15378789930068,40.717244709832165,81.8553037263037,51.98586140920773,58.45500151078593,31.650065745553093,38.07015204442203,66.50964651423446,129.0,157.0,156.0
Eldoret,Ainabkoi,2025-09-01 23:22:43.086192,113,15,97,0.6413167837837772,89.53194437264258,3.342869079524613,5.535222743354957,4.719776141890929,71.81559931840758,5962,62.92755194483072,21.06795159118729,21.064715859458214,30.127352970560523,50.89219520239188,49.39942643243512,34.22585700890354,80.85928153797235,46.399362178598935,88.21128394334914,83.18268778769615,68.07453893973872,58.41574729448526,58.22614490121661,67.79783432747146,76.54532747349208,9,2025,22.0,83.0,3.5654813305155875,75.89759298263866,3.0374983774609543,4.0951610181273566,7.799815316807026,58.98075153236975,4951.0,88.50154249782238,24.489222161386976,10.143398981299898,10.091943352089304,65.38723185957227,42.99592058548649,42.56329801447744,53.20877575899856,92.3040693891211,50.985486899803455,42.90230022292832,85.60875948427532,56.00911267631065,57.70698104584482,46.90379899102453,55.68939407780645,14.0,115.0,2.0819376019556266,82.06124667982903,2.047151023298196,5.928132543992356,5.1359563320172095,52.945102238949765,8481.0,40.618419811685406,28.144088998760218,10.91756225123204,26.579361009560536,39.827664463435525,58.66440729510755,63.19459574783327,54.68080254990568,66.65288465547621,40.872840672987714,39.20721184262113,80.00637640557342,79.22135565893328,56.598095543363065,44.734980961516015,35.76420954248823,32.0,124.0,1.4163707054376484,71.75093541301815,3.7848199924921335,9.46490759867594,3.5432176539416407,64.46309970809877,8619.0,53.069905722239895,38.40320935630646,16.466585580915208,12.483484002650291,33.73481429291431,77.82983864367802,58.54456837337298,53.21298508658859,83.34941938809936,78.9142934240268,81.24740582695176,70.70155637089161,65.39027814141399,55.58068071509466,67.42754832703969,74.07756376637624,105.0,129.0,157.0
Eldoret,Ainabkoi,2025-10-01 23:22:43.086192,132,19,112,1.0257334660040636,71.43320100035518,4.626954750431152,9.052870329276214,1.6632313715523468,59.53658406608361,6613,68.9974843046297,22.76605243385976,20.349969111098385,15.064416460438167,58.55829150654101,25.152685541075016,54.949967735872384,67.5634493163583,61.62005923281871,57.45937039820494,68.87444133912227,81.58073038692055,51.58030597118514,26.686622973121494,42.58658259214994,82.91040628207534,10,2025,15.0,97.0,0.6413167837837772,89.53194437264258,3.342869079524613,5.535222743354957,4.719776141890929,71.81559931840758,5962.0,62.92755194483072,21.06795159118729,21.064715859458214,30.127352970560523,50.89219520239188,49.39942643243512,34.22585700890354,80.85928153797235,46.399362178598935,88.21128394334914,83.18268778769615,68.07453893973872,58.41574729448526,58.22614490121661,67.79783432747146,76.54532747349208,22.0,83.0,3.5654813305155875,75.89759298263866,3.0374983774609543,4.0951610181273566,7.799815316807026,58.98075153236975,4951.0,88.50154249782238,24.489222161386976,10.143398981299898,10.091943352089304,65.38723185957227,42.99592058548649,42.56329801447744,53.20877575899856,92.3040693891211,50.985486899803455,42.90230022292832,85.60875948427532,56.00911267631065,57.70698104584482,46.90379899102453,55.68939407780645,14.0,115.0,2.0819376019556266,82.06124667982903,2.047151023298196,5.928132543992356,5.1359563320172095,52.945102238949765,8481.0,40.618419811685406,28.144088998760218,10.91756225123204,26.579361009560536,39.827664463435525,58.66440729510755,63.19459574783327,54.68080254990568,66.65288465547621,40.872840672987714,39.20721184262113,80.00637640557342,79.22135565893328,56.598095543363065,44.734980961516015,35.76420954248823,113.0,105.0,129.0
Eldoret,Ainabkoi,2025-11-01 23:22:43.086192,139,34,104,1.652789214750343,94.82043399555693,4.276363967774044,8.085016882825455,3.3387613558527818,67.25366302970235,2037,85.27270929452085,28.641832871630086,13.08157191202557,12.805239634711542,43.5114056848375,38.60496408482985,70.60819118355056,54.26423667740799,47.013535014393455,54.929467741772704,45.13021391411431,43.95404059897552,57.56514538154021,55.91895005294953,32.99492336906344,83.45235902217168,11,2025,19.0,112.0,1.0257334660040636,71.43320100035518,4.626954750431152,9.052870329276214,1.6632313715523468,59.53658406608361,6613.0,68.9974843046297,22.76605243385976,20.349969111098385,15.064416460438167,58.55829150654101,25.152685541075016,54.949967735872384,67.5634493163583,61.62005923281871,57.45937039820494,68.87444133912227,81.58073038692055,51.58030597118514,26.686622973121494,42.58658259214994,82.91040628207534,15.0,97.0,0.6413167837837772,89.53194437264258,3.342869079524613,5.535222743354957,4.719776141890929,71.81559931840758,5962.0,62.92755194483072,21.06795159118729,21.064715859458214,30.127352970560523,50.89219520239188,49.39942643243512,34.22585700890354,80.85928153797235,46.399362178598935,88.21128394334914,83.18268778769615,68.07453893973872,58.41574729448526,58.22614490121661,67.79783432747146,76.54532747349208,22.0,83.0,3.5654813305155875,75.89759298263866,3.0374983774609543,4.0951610181273566,7.799815316807026,58.98075153236975,4951.0,88.50154249782238,24.489222161386976,10.143398981299898,10.091943352089304,65.38723185957227,42.99592058548649,42.56329801447744,53.20877575899856,92.3040693891211,50.985486899803455,42.90230022292832,85.60875948427532,56.00911267631065,57.70698104584482,46.90379899102453,55.68939407780645,132.0,113.0,105.0
Eldoret,Ainabkoi,2025-12-01 23:22:43.086192,165,31,134,2.8375159263018963,91.55593269971816,2.146646149859494,7.715819258889823,5.754739197591295,49.22958364407738,9371,49.74510176140164,31.599016389977624,21.427463816292946,22.3352378986576,38.05279200472725,37.47928503592033,71.10194260260343,66.6303581280882,86.19180634113496,46.4072155742556,41.80396835481503,60.7074471754843,51.44535087869909,25.430416052289008,47.63158156003336,37.47369429035153,12,2025,34.0,104.0,1.652789214750343,94.82043399555693,4.276363967774044,8.085016882825455,3.3387613558527818,67.25366302970235,2037.0,85.27270929452085,28.641832871630086,13.08157191202557,12.805239634711542,43.5114056848375,38.60496408482985,70.60819118355056,54.26423667740799,47.013535014393455,54.929467741772704,45.13021391411431,43.95404059897552,57.56514538154021,55.91895005294953,32.99492336906344,83.45235902217168,19.0,112.0,1.0257334660040636,71.43320100035518,4.626954750431152,9.052870329276214,1.6632313715523468,59.53658406608361,6613.0,68.9974843046297,22.76605243385976,20.349969111098385,15.064416460438167,58.55829150654101,25.152685541075016,54.949967735872384,67.5634493163583,61.62005923281871,57.45937039820494,68.87444133912227,81.58073038692055,51.58030597118514,26.686622973121494,42.58658259214994,82.91040628207534,15.0,97.0,0.6413167837837772,89.53194437264258,3.342869079524613,5.535222743354957,4.719776141890929,71.81559931840758,5962.0,62.92755194483072,21.06795159118729,21.064715859458214,30.127352970560523,50.89219520239188,49.39942643243512,34.22585700890354,80.85928153797235,46.399362178598935,88.21128394334914,83.18268778769615,68.07453893973872,58.41574729448526,58.22614490121661,67.79783432747146,76.54532747349208,139.0,132.0,113.0
Eldoret,Ainabkoi,2026-01-01 23:22:43.086192,210,33,176,1.9170954762059549,90.54117116693143,4.952308137196474,5.151869070103337,3.5923000321221767,77.82023689908256,11157,54.7820271508667,35.330726108826056,23.50887826695745,33.46241463066565,26.2260170885371,34.06530410969937,57.57064273033901,82.82172235749601,76.48468717318174,77.41664515203759,54.64639105673864,53.1869496753842,63.3739622949846,60.57548182058507,11.593541725176994,32.24397539695305,1,2026,31.0,134.0,2.8375159263018963,91.55593269971816,2.146646149859494,7.715819258889823,5.754739197591295,49.22958364407738,9371.0,49.74510176140164,31.599016389977624,21.427463816292946,22.3352378986576,38.05279200472725,37.47928503592033,71.10194260260343,66.6303581280882,86.19180634113496,46.4072155742556,41.80396835481503,60.7074471754843,51.44535087869909,25.430416052289008,47.63158156003336,37.47369429035153,34.0,104.0,1.652789214750343,94.82043399555693,4.276363967774044,8.085016882825455,3.3387613558527818,67.25366302970235,2037.0,85.27270929452085,28.641832871630086,13.08157191202557,12.805239634711542,43.5114056848375,38.60496408482985,70.60819118355056,54.26423667740799,47.013535014393455,54.929467741772704,45.13021391411431,43.95404059897552,57.56514538154021,55.91895005294953,32.99492336906344,83.45235902217168,19.0,112.0,1.0257334660040636,71.43320100035518,4.626954750431152,9.052870329276214,1.6632313715523468,59.53658406608361,6613.0,68.9974843046297,22.76605243385976,20.349969111098385,15.064416460438167,58.55829150654101,25.152685541075016,54.949967735872384,67.5634493163583,61.62005923281871,57.45937039820494,68.87444133912227,81.58073038692055,51.58030597118514,26.686622973121494,42.58658259214994,82.91040628207534,165.0,139.0,132.0
Eldoret,Ainabkoi,2026-02-01 23:22:43.086192,193,45,148,3.468266182567437,78.96671799484525,3.928035044088901,6.215698623205102,1.946419246873711,71.67595298723059,14234,43.315300637545896,16.505530212203745,13.336359717238889,34.45014178525128,40.78048385206637,43.16103721199674,68.19257002132102,75.38211033502307,53.43692820380801,60.31209737921622,34.41140258019932,31.537854098119347,80.17610367031078,77.34658414249789,63.34264070572567,49.281127005991294,2,2026,33.0,176.0,1.9170954762059549,90.54117116693143,4.952308137196474,5.151869070103337,3.5923000321221767,77.82023689908256,11157.0,54.7820271508667,35.330726108826056,23.50887826695745,33.46241463066565,26.2260170885371,34.06530410969937,57.57064273033901,82.82172235749601,76.48468717318174,77.41664515203759,54.64639105673864,53.1869496753842,63.3739622949846,60.57548182058507,11.593541725176994,32.24397539695305,31.0,134.0,2.8375159263018963,91.55593269971816,2.146646149859494,7.715819258889823,5.754739197591295,49.22958364407738,9371.0,49.74510176140164,31.599016389977624,21.427463816292946,22.3352378986576,38.05279200472725,37.47928503592033,71.10194260260343,66.6303581280882,86.19180634113496,46.4072155742556,41.80396835481503,60.7074471754843,51.44535087869909,25.430416052289008,47.63158156003336,37.47369429035153,34.0,104.0,1.652789214750343,94.82043399555693,4.276363967774044,8.085016882825455,3.3387613558527818,67.25366302970235,2037.0,85.27270929452085,28.641832871630086,13.08157191202557,12.805239634711542,43.5114056848375,38.60496408482985,70.60819118355056,54.26423667740799,47.013535014393455,54.929467741772704,45.13021391411431,43.95404059897552,57.56514538154021,55.91895005294953,32.99492336906344,83.45235902217168,210.0,165.0,139.0
Nakuru,Bahati,2025-06-01 23:22:43.086192,89,9,80,4.024408183373103,91.02293962264372,1.3060564719909924,2.742378244422756,1.3919291429473106,64.98175683597812,3102,78.30625574885349,27.212863180340733,24.04438794269658,22.984564183897884,27.07193856188028,61.4967585748572,46.30527416858512,53.15015321061684,40.62470642864783,40.78616558798161,60.91929961306728,83.11684968237884,76.61068164963157,22.118524823083213,48.06123760273495,68.6159085585899,6,2025,15.0,116.0,1.0896828450437388,79.03223423074289,1.5293591185564166,4.676657837196996,7.063327429506854,76.82679316758599,6071.0,45.98280892672875,22.900866894806526,19.406594362272926,13.3378898731301,22.02177126571236,68.0125931900607,46.81983957735318,85.06533522065507,79.14811526248499,90.71123969150784,74.99292791046904,61.3863029437149,86.75950275832324,67.94699050029303,56.30199812523127,81.90967287973504,22.0,104.0,1.1645363841896634,72.20077053500985,2.5256118976408146,9.106804419982131,3.3644458157277657,45.65576447323641,5537.0,39.78686958286626,33.85518352703792,5.403659837842849,28.11134782741172,21.49020352304442,39.06418594527726,39.90998645012903,47.41029823164398,73.33701458992142,49.52983565859955,62.08613265716267,73.9427682767359,74.455661051231,21.517067270424985,37.25696704800677,45.08657117589886,19.0,122.0,3.166181915459746,73.40949935345806,3.613680485431012,3.9455192576178586,2.4707307110190446,49.85295282677085,9573.0,59.94822638688514,37.40447726082384,22.117070720169338,21.966288459480904,58.386005542146265,71.49462356027328,44.95549924491469,46.31760325262958,71.67175401605039,88.32426590547342,75.17357609412385,43.46089597257698,82.97649071141672,64.87826400874516,32.127936344029976,77.87002809893517,132.0,126.0,141.0
