county,sub_county,date,acute_malnutrition_cases,severe_acute_malnutrition_cases,moderate_acute_malnutrition_cases,admission_rate,cure_rate,death_rate,default_rate,non_cured_rate,coverage_rate
Nairobi,Westlands,2025-03-01 23:22:43.086192,370,89,281,3.7840462219081092,87.96870900849927,2.6055734176694454,3.9880374411988244,1.4243384882564376,68.93636261741169
Nairobi,Westlands,2025-04-01 23:22:43.086192,410,59,351,3.2464947307745287,87.68175606386605,1.4788646435411614,8.577744674241332,2.26388384240801,55.946983711367665
Nairobi,Westlands,2025-05-01 23:22:43.086192,375,46,329,4.278368494191199,71.48869138788218,1.7594491496138556,5.038291866815743,7.110559723888056,84.02064610803262
Nairobi,Westlands,2025-06-01 23:22:43.086192,284,52,232,0.7974035884152013,93.4406340991219,2.5683663060303514,5.022313892692266,3.8264866717752852,55.11025618836096
Nairobi,Westlands,2025-07-01 23:22:43.086192,217,41,175,3.7918536670772687,87.38041547753419,1.8413621007064243,6.387848356692342,6.702242165870832,80.7295222782001
Nairobi,Westlands,2025-08-01 23:22:43.086192,187,33,153,1.46195292940308,74.80591411485277,3.7705536629994487,3.929605325887228,6.18013365605059,62.53118890302174
Nairobi,Westlands,2025-09-01 23:22:43.086192,210,29,181,1.4205614088147716,93.42995031313801,2.021155384520975,6.267098183826878,6.865822765437214,58.31566786361266
Nairobi,Westlands,2025-10-01 23:22:43.086192,210,25,184,4.284245115760294,77.59878505912955,4.6889905283524875,4.979784632483647,2.5364416907452076,52.54104520763005
Nairobi,Westlands,2025-11-01 23:22:43.086192,235,40,195,4.926423337202431,78.26003994676702,1.07190064710524,5.426322403465194,6.442051218426231,50.94434915947405
Nairobi,Westlands,2025-12-01 23:22:43.086192,271,44,227,1.42591886285692,71.16109797813286,1.131899415396762,8.553196978678791,2.502466110793584,43.61479040904986
Nairobi,Westlands,2026-01-01 23:22:43.086192,345,54,290,2.096671448324476,76.85577423811169,3.4759670574718284,4.531133369494536,7.860081028146951,41.029980136670915
Nairobi,Westlands,2026-02-01 23:22:43.086192,374,81,292,3.7552213454788763,77.42560778182556,1.7051213991407477,4.406678321357594,1.9213383280960004,45.75221870244587
Nairobi,Dagoretti,2025-03-01 23:22:43.086192,411,88,322,2.48004070263384,70.91364769592813,2.32385057797117,9.936056187410221,2.19961537571911,74.8973127581092
Nairobi,Dagoretti,2025-04-01 23:22:43.086192,293,52,241,2.0765203166509374,84.75959289421056,4.578412679239605,2.6509020561505174,7.352110284302684,68.43065627708404
Nairobi,Dagoretti,2025-05-01 23:22:43.086192,261,38,222,1.8672645872227265,80.92904014683377,1.1294343643729121,6.402056800734474,2.440793067287814,53.11827737774413
Nairobi,Dagoretti,2025-06-01 23:22:43.086192,249,30,219,4.5686836788562175,82.15870494876691,2.9905732914620713,2.0719519743444517,1.6250146466694093,43.201325558417665
Nairobi,Dagoretti,2025-07-01 23:22:43.086192,211,24,187,4.729078289919662,80.1242902040311,3.773745193902354,6.2121705304547605,5.075631845439393,53.690624877117905
Nairobi,Dagoretti,2025-08-01 23:22:43.086192,190,23,167,2.422797136921973,81.34707069088557,4.443840069655934,4.438844275984605,2.0910326410087188,45.025688516689925
Nairobi,Dagoretti,2025-09-01 23:22:43.086192,184,24,159,1.6411892050940111,81.19164213355961,2.226360758603748,4.442521874098745,7.31693162042038,45.070087519150675
Nairobi,Dagoretti,2025-10-01 23:22:43.086192,185,44,141,1.2865566720409982,88.20019013177578,4.29413898318903,3.9341394698632897,7.278448961440968,42.80901196187754
Nairobi,Dagoretti,2025-11-01 23:22:43.086192,232,24,207,1.191976892302161,94.84407371042394,1.6820339861085256,7.97786363045239,6.852736309307333,79.23974183880887
Nairobi,Dagoretti,2025-12-01 23:22:43.086192,268,45,223,2.6934269174774514,89.30534393115512,1.0746126473634479,3.410422178559293,7.866371740592699,66.16531442119698
Nairobi,Dagoretti,2026-01-01 23:22:43.086192,355,41,314,4.352966334874824,76.94191667607231,4.447099523217767,5.061321339912631,1.5536938573479264,81.75795246824677
Nairobi,Dagoretti,2026-02-01 23:22:43.086192,276,67,208,4.775166058509682,75.67160200797875,3.3231970523366092,6.262864380700626,7.562078778682602,70.82437645084862
Nairobi,Kamukunji,2025-03-01 23:22:43.086192,312,33,279,3.1264240994355306,83.12285437927197,1.0891245910394347,8.760348899440695,3.0033699889223486,68.62595842613707
